,title,lyrics
94, Cantiga De Acordar ,"`Foi uma ilusão
Uma insensatez
Há que pôr o chão
Nos pés

Era como um trem
Que anda sem passar
Era um tempo sem
Lugar

Mas
Foi um sonho bom
De sonhar porque
Me sonhava com
Você
E então seu canto veio me acordar

Era uma ilusão
No interior
De uma outra ilusão
Maior

Mas
Você foi pro sol
Noite me envolveu
Num silêncio igual
Ao seu
E então seu canto veio me acordar

Tudo é uma ilusão
Os que estão aqui
Esses não estão
Em si
Do universo, o além
Faunos ou mortais
Vão restar mais nem
Sinais


Tudo o que se vê
É o sonho de algum
Pobre sonhador
Todas as estrelas
Todas as misérias
Todos os desejos
E a canção do meu amor
Tudo o que se viu  tudo o que se foi


Última ilusão
Amanhece já
Vai-se abrir o chão
Quiçá
A ilusão se esvai
É uma cena só
E a cortina cai
Sem dó
Vai cessar o som
A sessão já foi
Despertar é bom
Mas dói



Pedras vão rolar
Choram serviçais
Vão se espatifar
Vitrais
Tomba o refletor
Ardem camarins
Cai no bastidor
A atriz
Descarrila o trem
O pilar cedeu
Vai morrer meu bem
E eu


Num jardim fugaz
De espirais sem fim
Eu corria atrás
De mim
O homem se distrai
Dorme em boa fé
Sua sombra sai
A pé


Mas
Foi uma ilusão
Uma insensatez
Há que pôr o chão
Nos pés`"
95, Cantores Do Rádio ,"`Nós somos as cantoras do rádio
Levamos a vida a cantar
De noite emabalamos teu sono
De manhã nós vamos te acordar

Nós somos as cantoras do rádio
Nossas canções, cruzando um espaço azul,
Vão reunindo
Num grande abraço
Corações de norte a sul

Canto pelos espaços afora
Vou semeando cantigas
Dando alegria a quem chora

Canto pois sei
Que a minha canção
Faz estancar a tristeza que mora
No teu coração

Canto pra te ver mais contente
Pois a ventura dos outros
É a alegria da gente

Canto e sou feliz só assim
E agora peço que cantem
Um pouquinho pra mim`"
96, Capital Do Samba ,"`Chegou a capital do samba
Dando boa noite com alegria
Viemos lhe apresentar
O que a mangueira tem
Mocidade, samba e harmonia
Nossas baianas com seus colares e guias
Até parece que eu estou na bahia
Na cidade alta da mangueira avisto a vila
Sinto saudades de alguém
Até parece que eu estou em são salvador
Avistando o que a bahia tem
É a minha maior alegria
Até parece que eu estou na bahia`"
97, Cara a Cara ,"`Tenho um peito de lata
E um nó de gravata
No coração
Tenho uma vida sensata
Sem emoção
Tenho uma pressa danada
Não paro pra nada
Não presto atenção
Nos versos desta canção
Inútil

Tira a pedra do caminho
Serve mais um vinho
Bota vento no moinho
Bota pra correr
Bota força nessa coisa
Que se a coisa pára
A gente fica cara a cara
Cara a cara cara a cara
Bota lenha na fornalha
Põe fogo na palha
Bota fogo na batalha
Bota pra ferver
Bota força nessa coisa
Que se a coisa pára
A gente fica cara a cara
Cara a cara cara a cara

Tenho um metro quadrado
Um olho vidrado
E a televisão
Tenho um sorriso comprado
A prestação
Tenho uma pressa danada
Não paro pra nada
Não presto atenção
Nas cordas desse violão
Inútil

Tira a pedra do caminho (etc.)

Tenho o passo marcado
O rumo traçado sem discussão
Tenho um encontro marcado
Com a solidão
Tenho uma pressa danada
Não moro do lado
Não me chamo João
Não gosto nem digo que não
É inútil

Tira a pedra do caminho (etc.)

Vou correndo, vou-me embora
Faço um bota-fora
Pega um lenço agita e chora
Cumpre o seu dever
Bota força nessa coisa
Que se a coisa pára
A gente fica cara a cara
Cara a cara cara a cara
Com o que não quer ver`"
98, Carcará ,"`Carcará
Lá no sertão
É um bicho que avoa que nem avião
É um pássaro malvado
Tem o bico volteado que nem gavião
Carcará
Quando vê roça queimada
Sai voando, cantando,
Carcará
Vai fazer sua caçada
Carcará come inté cobra queimada
Quando chega o tempo da invernada
O sertão não tem mais roça queimada
Carcará mesmo assim num passa fome
Os burrego que nasce na baixada
Carcará
Pega, mata e come
Carcará
Num vai morrer de fome
Carcará
Mais coragem do que home
Carcará
Pega, mata e come
Carcará é malvado, é valentão
É a águia de lá do meu sertão
Os burrego novinho num pode andá
Ele puxa o umbigo inté matá
Carcará
Pega, mata e come
Carcará
Num vai morrer de fome
Carcará
Mais coragem do que home
Carcará`"
99, Carioca ,"`Gostosa
Quentinha
Tapioca
O pregão abre o dia
Hoje tem baile funk
Tem samba no Flamengo
O reverendo
No palanque lendo
O Apocalipse
O homem da Gávea criou asas
Vadia
Gaivota
Sobrevoa a tardinha
E a neblina da ganja
O povaréu sonâmbulo
Ambulando
Que nem muamba
Nas ondas do mar
Cidade maravilhosa
És minha
O poente na espinha
Das tuas montanhas
Quase arromba a retina
De quem vê
De noite
Meninas
Peitinhos de pitomba
Vendendo por Copacabana
As suas bugigangas
Suas bugigangas`"
100, Carolina ,"`Carolina
Nos seus olhos fundos
Guarda tanta dor
A dor de todo esse mundo

Eu já lhe expliquei que não vai dar
Seu pranto não vai nada mudar
Eu já convidei para dançar
É hora, já sei, de aproveitar

Lá fora, amor
Uma rosa nasceu
Todo mundo sambou
Uma estrela caiu
Eu bem que mostrei sorrindo
Pela janela, ói que lindo
Mas Carolina não viu

Carolina
Nos seus olhos tristes
Guarda tanto amor
O amor que já não existe

Eu bem que avisei, vai acabar
De tudo lhe dei para aceitar
Mil versos cantei pra lhe agradar
Agora não sei como explicar

Lá fora, amor
Uma rosa morreu
Uma festa acabou
Nosso barco partiu

Eu bem que mostrei a ela
O tempo passou na janela
Só Carolina não viu

Eu bem que mostrei a ela
O tempo passou na janela
Só Carolina não viu`"
101, Carta Ao Tom 74 ,"`Rua Nascimento Silva, 107
Você ensinando pra Elizete
As canções de canção do amor demais

Lembra que tempo feliz
Ah! que saudade
Ipanema era só felicidade
Era como se o amor doesse em paz

Nossa famosa garota nem sabia
A que ponto a cidade turvaria
Esse Rio de amor que se perdeu
Mesmo a tristeza da gente era mais bela
E alem disso se via da janela
Um cantinho de céu e o Redentor

É, meu amigo, só resta uma certeza
É preciso acabar com essa tristeza
É preciso inventar um novo amor

Rua Nascimento Silva, 107
Eu saio correndo do pivete
Tentando alcançar o elevador

Minha janela não passa
De um quadrado
A gente só vê cimento armado
Onde antes se via o Redentor

É, meu amigo, só resta uma certeza
É preciso acabar com a natureza
É melhor lotear o nosso amor`"
102, Carta do Tom (paródia) ,"`Rua Nascimento Silva, 107
 Eu saio correndo do pivete
 Tentando alcançar o elevador

Minha janela não passa de um quadrado
 A gente só vê Sérgio Dourado
 Onde antes se via o Redentor

É, meu amigo
 Só resta uma certeza
 É preciso acabar com a natureza
 É melhor lotear o nosso amor



(Toquinho - Tom Jobim - Chico Buarque/1977)
 (Tom - Vinicius - Toquinho - Miúcha)
 (Gravado ao vivo no Canecão - Som Livre)

`"
103, Caruso ,"`Se todos os astros do mundo num certo momento caíssem no chão
Toda uma série de estrelas, de poeira descarregada dos céus
Mas os céus sem os teus olhos já não brilharão.
Se todos os homens do mundo levantassem a cabeça
E saíssem voando, sem explicação
Sem a sua bagunça, seu doloroso barulho
Não pulsaria a terra, pobre coração.
Me falta sempre um elástico pra segurar as calças
De modo que as calças no momento mais belo me caem no chão.
Como um sonho acabado, talvez um sonho importante
Um amigo traído, eu também já fui traído, mas isso é outra canção.
No escuro do céu, cabeças brancas peladas
As nossas palavras se movem cansadas, balbuciamos em vão
Mas eu tenho gana de falar, de ficar escutando.
Fazer papel de bobo, seguir fazendo tudo o que me der na telha, ou não
Ah! felicidade
Em que vagão de trem noturno viajarás
Eu sei que passarás
Mas como estás com pressa não paras jamais
Seria o caso de nadar, sem esquentar a cabeça
Deixar-se levar pra dentro de dois olhos grandes
Azuis ou não
E no afã de libertá-los
Atravessar um mar medieval, enfrentar um dragão estrábico
Mas dragões, oh, baby, já não existirão
Talvez por isso os sonhos são assim pálidos, brancos
E exaustos se rebatem através das antenas de televisão
E voltam pra nossas casas trazidos por senhores elegantes
Latrinas falantes, todo mundo aplaudindo, não querendo mais não
Porém se este mundo é mera cartolina
Então pra sermos felizes, bastaria um nada
Bastaria um fio de música, quiçá
Ou não seria o caso de tentar fechar os olhos
Mas assim que fecharmos os olhos, quem sabe o que será
Ah! felicidade......`"
104, Casa De João De Rosa ,"`Casa de João de Rosa
Rosa de João
João que levantou a casa
No boqueirão
João que fez aquela casa
Rosa fez questão
A casa de botão de Rosa
Que é de João

Rosa aconchegou a casa
Casa de joão-de-barro, a concha cor de Rosa
Não tem portão
João mandou fazer pra Rosa
Forro de alcatrão 
Ninguém jamias entrou na casa
Que é de João

Roda Rosa pela casa
Coisa de João
João foi quem ensinou a Rosa
Rolar no chão
João cheirando aquela Rosa
Goza de antemão
E Rosa, amando aquela casa
Rega João`"
106, Cecília ,"`Quantos artistas
Entoam baladas
Para suas amadas
Com grandes orquestras
Como os invejo
Como os admiro
Eu, que te vejo
E nem quase respiro

Quantos poetas
Românticos, prosas
Exaltam suas musas
Com todas as letras
Eu te murmuro
Eu te suspiro
Eu, que soletro
Teu nome no escuro


Me escutas, Cecília?
Mas eu te chamava em silêncio
Na tua presença
Palavras são brutas


Pode ser que, entreabertos
Meus lábios de leve
Tremessem por ti
Mas nem as sutis melodias
Merecem, Cecília, teu nome
Espalhar por aí
Como tantos poetas
Tantos cantores
Tantas Cecílias
Com mil refletores
Eu, que não digo
Mas ardo de desejo
Te olho
Te guardo
Te sigo
Te vejo dormir`"
107, Cem Mil Réis ,"`Você me pediu cem mil-réis
Pra comprar um soirée
E um tamborim
O organdi anda barato pra cachorro
E um gato lá no morro
Não é tão caro assim

Não custa nada
Preencher formalidade
Tamborim pra batucada
Soirée pra sociedade

Sou bem sensato
Seu pedido atendi
Já tenho a pele do gato
Falta o metro de organdi

Sei que você
Num dia faz um tamborim
Mas ninguém faz um soirée
Com meio metro de cetim
De soirée você num baile se destaca
Mas não quero mais você
Porque não sei vestir casaca`"
108, Chafariz ,"`Voce não quis acreditar
Trago esse samba que fiz
Como forma de te mostrar
Tudo o que sinto menina
Não posso mais esperar
Vê se me ensina
Como é que eu faço pra te conquistar
Cade voce que não me quer
Depois de tudo parece que ainda não leva fé
Mas não me iludo menina
Vou ficar mudo mulher
Nesse momento o melhor que eu faço
É sair do seu pé
Quem sabe assim voce vai me dar valor
Mulher que ainda não sabe o que é o amor
Um dia vai saber porque essa historia
Já tem um fim: que é voce pra mim`"
109, Chão De Esmeraldas ,"`Me sinto pisando
Um chão de esmeraldas
Quando levo meu coração
À Mangueira
Sob uma chuva de rosas
Meu sangue jorra das veias
E tinge um tapete
Pra ela sambar
É a realeza dos bambas
Que quer se mostrar

Soberba, garbosa
Minha escola é um catavento a girar
É verde, é rosa
Oh, abre alas para a Mangueira passar`"
110, Chega De Mágoa ,"`Nós não vamos nos dispersar
Juntos, é tão bom saber
Que passado o tormento
Será nosso esse chão...

Água, dona da vida
Ouve essa prece tão comovida
Chega, brinca na fonte
Desce do monte, vem como amiga

Te quero água de beber
Um copo d'água
Marola mansa da maré
Mulher amada
Te quero orvalho toda manhã

Terra, olha essa terra
Raça valente, gente sofrida
Chama, tem que ter feira
Tem que ter festa, vamos pra vida

Te quero terra pra plantar, ah
Te quero verde
Te quero casa pra morar, ah
Te quero rede
Depois da chuva o Sol da manhã

Chega de mágoa
Chega de tanto penar

Canto e o nosso canto
Joga no tempo uma semente
Gente, olha essa gente
Olha essa gente, olha essa gente

Te quero água de beber
Um copo d'água
Marola mansa da maré
Mulher amada

Te quero terra pra plantar
Te quero verde, hum
Te quero casa pra morar
Te quero rede

Depois da chuva o Sol da manhã
Canto (eu canto) e o nosso canto (canto)
Joga no tempo (joga no tempo) uma semente (ye ye ye ye ye)
Gente (quero te ver crescer bonita)
Olha essa gente (quero te ver crescer feliz)
Olha essa gente (olha essa terra, olha essa gente)
Olha essa gente (Gente pra ser feliz, feliz)
Te quero água de beber (me dê um copo)
Um copo d'água
Marola mansa da maré (ye ye ye ye ye)
Mulher amada (mulher amada)
Te quero terra pra plantar (plantar)
Te quero verde (te quer verde)
Te quero casa pra morar
Te quero rede
Depois da chuva o Sol da manhã
Chega de mágoa
Chega de tanto penar
Chega de mágoa
Chega de tanto penar
Ah!`"
111, Chega de Saudade ,"`Vai minha tristeza
E diz a ela que sem ela não pode ser
Diz-lhe numa prece
Que ela regresse
Porque eu não posso mais sofrer

Chega de saudade
A realidade é que sem ela
Não há paz não há beleza
É só tristeza e a melancolia
Que não sai de mim
Não sai de mim
Não sai

Mas, se ela voltar
Se ela voltar que coisa linda!
Que coisa louca!
Pois há menos peixinhos a nadar no mar
Do que os beijinhos
Que eu darei na sua boca

Dentro dos meus braços, os abraços
Hão de ser milhões de abraços
Apertado assim, colado assim, calado assim,
Abraços e beijinhos e carinhos sem ter fim

Que é pra acabar com esse negócio
De você viver sem mim
Não quero mais esse negócio
De você longe de mim
Vamos deixar esse negócio
De você viver sem mim`"
112, Choro Bandido ,"`Mesmo que os cantores sejam falsos como eu
Serão bonitas, não importa
São bonitas as canções
Mesmo miseráveis os poetas
Os seus versos serão bons
Mesmo porque as notas eram surdas
Quando um deus sonso e ladrão
Fez das tripas a primeira lira
Que animou todos os sons
E daí nasceram as baladas
E os arroubos de bandidos como eu
Cantando assim:
Você nasceu para mim
Você nasceu para mim

Mesmo que você feche os ouvidos
E as janelas do vestido
Minha musa vai cair em tentação
Mesmo porque estou falando grego
Com sua imaginação
Mesmo que você fuja de mim
Por labirintos e alçapões
Saiba que os poetas como os cegos
Podem ver na escuridão
E eis que, menos sábios do que antes
Os seus lábios ofegantes
Hão de se entregar assim:
Me leve até o fim
Me leve até o fim

Mesmo que os romances sejam falsos como o nosso
São bonitas, não importa
São bonitas as canções
Mesmo sendo errados os amantes
Seus amores serão bons`"
114, Ciranda Da Bailarina ,"`Procurando bem
Todo mundo tem pereba
Marca de bexiga ou vacina
E tem piriri, tem lombriga, tem ameba
Só a bailarina que não tem

E não tem coceira
Verruga nem frieira
Nem falta de maneira
Ela não tem

Futucando bem
Todo mundo tem piolho
Ou tem cheiro de creolina
Todo mundo tem um irmão meio zarolho
Só a bailarina que não tem

Nem unha encardida
Nem dente com comida
Nem casca de ferida
Ela não tem

Não livra ninguém
Todo mundo tem remela
Quando acorda às seis da matina
Teve escarlatina
Ou tem febre amarela
Só a bailarina que não tem

Medo de subir, gente
Medo de cair, gente
Medo de vertigem
Quem não tem

Confessando bem
Todo mundo faz pecado
Logo assim que a missa termina
Todo mundo tem um primeiro namorado
Só a bailarina que não tem

Sujo atrás da orelha
Bigode de groselha
Calcinha um pouco velha
Ela não tem

O padre também pode até ficar vermelho
Se o vento levanta a batina
Reparando bem, todo mundo tem pentelho
Só a bailarina que não tem

Sala sem mobília
Goteira na vasilha
Problema na família
Quem não tem

Procurando bem
Todo mundo tem`"
115, Cobra De Vidro ,"`Aos quatro cantos o seu corpo
Partido, banido
Aos quatro ventos os seus quartos
Seus cacos de vidro
O seu veneno incomodando
A tua honra, o teu verão
Presta atenção

Aos quatro cantos suas tripas
De graça, de sobra
Aos quatro ventos os seus quartos
Seus cacos, de cobra
O seu veneno arruinando
A tua filha, a plantação
Presta atenção

Aos quatro cantos seus ganidos
Seu grito medonho
Aos quatro ventos os seus quartos
Seus cacos de sonho
O seu veneno temperando
A tua aveia
O teu feijão

Presta atenção`"
116, Cobras e Lagartos ,"`Nunca mais vai beber minhas lágrimas
Não vai, não
Me fazer de gato e sapato
Não vai mesmo, não
Se eu choro, me lanho, me arranho
Não é de saudade(suponho que não)
É uma dor que emudece aqui dentro no meu coração
Se eu lembro de tuas palavras
Me vem suor
E o sangue me sobe
A cabeça esquenta
E eu fico pior
Me devolva aos meus travesseiros
E perco o meu sono
Que coisa ruim
Eu só sei que a imagem dele
Pregada na insônia
Não desgruda de mim`"
117," Com Açúcar, Com Afeto ","`Com açúcar, com afeto
Fiz seu doce predileto
Pra você parar em casa
Qual o quê!

Com seu terno mais bonito
Você sai, não acredito
Quando diz que não se atrasa

Você diz que é um operário
Sai em busca do salário
Pra poder me sustentar
Qual o quê!

No caminho da oficina
Existe um bar em cada esquina
Pra você comemorar
Sei lá o quê!

Sei que alguém vai sentar junto
Você vai puxar assunto
Discutindo futebol

E ficar olhando as saias
De quem vive pelas praias
Coloridas pelo sol

Vem a noite e mais um copo
Sei que alegre ma non troppo
Você vai querer cantar

Na caixinha um novo amigo
Vai bater um samba antigo
Pra você rememorar

Quando a noite enfim lhe cansa
Você vem feito criança
Pra chorar o meu perdão
Qual o quê!

Diz pra eu não ficar sentida
Diz que vai mudar de vida
Pra agradar meu coração

E ao lhe ver assim cansado
Maltrapilho e maltratado
Ainda quis me aborrecer?
Qual o quê!

Logo vou esquentar seu prato
Dou um beijo em seu retrato
E abro os meus braços pra você`"
118, Comício Em Mangueira ,"`Houve um comício em mangueira
E o cabo laurindo falou
Toda escola de samba aplaudiu, ô
Toda escola de samba chorou
Eu não sou heroi
Era comovente a sua voz
Heróis, são aqueles]
Que tombaram por nós] bis

Houve missa campal
Bandeira à meio pau
Toda escola de samba rezou
Laurindo então lembrou os nomes
Dos batuqueiros que tombaram
Mangueira tomou parte na vitória]
Mangueira, mais uma vez na história] bis`"
119, Como Se Fosse a Primavera ,"`De que calada maneira
Você chega assim sorrindo
Como se fosse a primavera
Eu morrendo
E de que modo sutil
Me derramou na camisa
Todas as flores de abril

Quem lhe disse que eu era
Riso sempre e nunca pranto?
Como se fosse a primavera
Não sou tanto
No entanto, que espiritual
Você me dar uma rosa
De seu rosal principal

De que calada maneira
Você chega assim sorrindo
Como se fosse a primavera
Eu morrendo
Eu morrendo`"
120, Como Um Samba De Adeus ,"`Quanto tempo
Mina d'água do meu canto
Manso
Piano e voz
Vento
Campo
Dentro
Antro
Onde reside o lamento
Preto
Da minha voz
Tanto
Tempo
Como nunca mais, eu penso
Como um samba de adeus
Com que jeito acenar
O meu lenço
Branco
Quanto tempo
Pode durar um espanto
Onde lançar a voz
Tempo
Tanto`"
121, Construção ,"`Amou daquela vez como se fosse a última
Beijou sua mulher como se fosse a última
E cada filho seu como se fosse o único
E atravessou a rua com seu passo tímido

Subiu a construção como se fosse máquina
Ergueu no patamar quatro paredes sólidas
Tijolo com tijolo num desenho mágico
Seus olhos embotados de cimento e lágrima

Sentou pra descansar como se fosse sábado
Comeu feijão com arroz como se fosse um príncipe
Bebeu e soluçou como se fosse um náufrago
Dançou e gargalhou como se ouvisse música

E tropeçou no céu como se fosse um bêbado
E flutuou no ar como se fosse um pássaro
E se acabou no chão feito um pacote flácido
Agonizou no meio do passeio público
Morreu na contramão, atrapalhando o tráfego

Amou daquela vez como se fosse o último
Beijou sua mulher como se fosse a única
E cada filho seu como se fosse o pródigo
E atravessou a rua com seu passo bêbado

Subiu a construção como se fosse sólido
Ergueu no patamar quatro paredes mágicas
Tijolo com tijolo num desenho lógico
Seus olhos embotados de cimento e tráfego

Sentou pra descansar como se fosse um príncipe
Comeu feijão com arroz como se fosse o máximo
Bebeu e soluçou como se fosse máquina
Dançou e gargalhou como se fosse o próximo

E tropeçou no céu como se ouvisse música
E flutuou no ar como se fosse sábado
E se acabou no chão feito um pacote tímido
Agonizou no meio do passeio náufrago
Morreu na contramão atrapalhando o público

Amou daquela vez como se fosse máquina
Beijou sua mulher como se fosse lógico
Ergueu no patamar quatro paredes flácidas
Sentou pra descansar como se fosse um pássaro
E flutuou no ar como se fosse um príncipe
E se acabou no chão feito um pacote bêbado
Morreu na contramão atrapalhando o sábado

Por esse pão pra comer, por esse chão pra dormir
A certidão pra nascer e a concessão pra sorrir
Por me deixar respirar, por me deixar existir
Deus lhe pague

Pela cachaça de graça que a gente tem que engolir
Pela fumaça e a desgraça que a gente tem que tossir
Pelos andaimes pingentes que a gente tem que cair
Deus lhe pague

Pela mulher carpideira pra nos louvar e cuspir
E pelas moscas bicheiras a nos beijar e cobrir
E pela paz derradeira que enfim vai nos redimir
Deus lhe pague`"
123, Conversa De Botequim ,"`Seu garçom faça o favor de me trazer depressa
Uma boa média que não seja requentada
Um pão bem quente com manteiga à beça
Um guardanapo e um copo d'água bem gelada
Feche a porta da direita com muito cuidado
Que eu não estou disposto a ficar exposto ao sol
Vá perguntar ao seu freguês do lado
Qual foi o resultado do futebol

Se você ficar limpando a mesa
Não me levanto nem pago a despesa
Vá pedir ao seu patrão
Uma caneta, um tinteiro,
Um envelope e um cartão,
Não se esqueça de me dar palitos
E um cigarro pra espantar mosquitos
Vá dizer ao charuteiro
Que me empreste umas revistas,
Um isqueiro e um cinzeiro

Seu garçom faça o favor de me trazer depressa...

Telefone ao menos uma vez
Para três quatro quatro três três três
E ordene ao seu Osório
Que me mande um guarda-chuva
Aqui pro nosso escritório
Seu garçom me empresta algum dinheiro
Que eu deixei o meu com o bicheiro,
Vá dizer ao seu gerente
Que pendure esta despesa
No cabide ali em frente
Seu garçom faça o favor de me trazer depressa
Uma boa média que não seja requentada
Um pão bem quente com manteiga à beça
Um guardanapo e um copo d'água bem gelada
Feche a porta da direita com muito cuidado
Que eu não estou disposto a ficar exposto ao sol
Vá perguntar ao seu freguês do lado
Qual foi o resultado do futebol`"
124, Copo Vazio ,"`É sempre bom lembrar
Que um copo vazio
Está cheio de ar.

É sempre bom lembrar
Que o ar sombrio de um rosto
Está cheio de um ar vazio,
Vazio daquilo que no ar do copo
Ocupa um lugar.

É sempre bom lembrar,
Guardar de cor que o ar vazio
De um rosto sombrio está cheio de dor.

É sempre bom lembrar
Que um copo vazio
Está cheio de ar.
Que o ar no copo ocupa o lugar do vinho,
Que o vinho busca ocupar o lugar da dor.
Que a dor ocupa metade da verdade,
A verdadeira natureza interior.

Uma metade cheia, uma metade vazia.
Uma metade tristeza, uma metade alegria.
A magia da verdade inteira, todo poderoso amor.
A magia da verdade inteira, todo poderoso amor.

É sempre bom lembrar
Que um copo vazio
Está cheio de ar.`"
125, Cordão ,"`Ninguém
Ninguém vai me segurar
Ninguém há de me fechar
As portas do coração
Ninguém
Ninguém vai me sujeitar
A trancar no peito a minha paixão

Eu não
Eu não vou desesperar
Eu não vou renunciar
Fugir
Ninguém
Ninguém vai me acorrentar
Enquanto eu puder cantar
Enquanto eu puder sorrir

Ninguém
Ninguém vai me ver sofrer
Ninguém vai me surpreender
Na noite da solidão
Pois quem
Tiver nada pra perder
Vai formar comigo o imenso cordão

E então
Quero ver o vendaval
Quero ver o carnaval
Sair
Ninguém
Ninguém vai me acorrentar
Enquanto eu puder cantar
Enquanto eu puder sorrir
Enquanto eu puder cantar
Alguém vai ter que me ouvir
Enquanto eu puder cantar
Enquanto eu puder seguir
Enquanto eu puder cantar
Enquanto eu puder sorrir
Enquanto eu puder cantar
Enquanto eu puder...`"
126, Corrente ,"`Eu hoje fiz um samba bem pra frente
Dizendo realmente o que é que eu acho

Eu acho que o meu samba é uma corrente
E coerentemente assino embaixo

Hoje é preciso refletir um pouco
E ver que o samba está tomando jeito

Só mesmo embriagado ou muito louco
Pra contestar e pra botar defeito

Precisa ser muito sincero e claro
Pra confessar que andei sambando errado

Talvez precise até tomar na cara
Pra ver que o samba está bem melhorado

Tem mas é que ser bem cara de tacho
Não ver a multidão sambar contente

Isso me deixa triste e cabisbaixo
Por isso eu fiz um samba bem pra frente

Dizendo realmente o que é que eu acho
Eu acho que o meu samba é uma corrente

E coerentemente assino embaixo
Hoje é preciso refletir um pouco

E ver que o samba está tomando jeito
Só mesmo embriagado ou muito louco

Pra contestar e pra botar defeito
Precisa ser muito sincero e claro

Pra confessar que andei sambando errado
Talvez precise até tomar na cara

Pra ver que o samba está bem melhorado
Tem mais é que ser bem cara de tacho

Não ver a multidão sambar contente
Isso me deixa triste e cabisbaixo

Por isso eu fiz um samba bem pra frente
Dizendo realmente o que é que eu acho`"
127, Cotidiano ,"`Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã

Todo dia ela diz que é pra eu me cuidar
E essas coisas que diz toda mulher
Diz que está me esperando pro jantar
E me beija com a boca de café

Todo dia eu só penso em poder parar
Meio dia eu só penso em dizer não
Depois penso na vida pra levar
E me calo com a boca de feijão

Seis da tarde como era de se esperar
Ela pega e me espera no portão
Diz que está muito louca pra beijar
E me beija com a boca de paixão

Toda noite ela diz pra eu não me afastar
Meia-noite ela jura eterno amor
E me aperta pra eu quase sufocar
E me morde com a boca de pavor

Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã`"
128, Cuidado Com a Outra ,"`Refrão:

Vou abrir a porta
Mais uma vez
Pode entrar...
É dia das mães,
Eu resolvi lhe perdoar.

Eu vou abrir.
Vou abrir a porta
Mais uma vez
Pode entrar...
É dia das mães,
Eu resolvi lhe perdoar.

Deus me ensinou
Praticar o bem
Deus me deu essa bondade.
Vou abrir a porta pra você entrar,
Mas não demore que a outra pode lhe encontrar.

[refrão]`"
130, Janelas Abertas Nº 2 ,"`Sim, eu poderia abrir as portas que dão pra dentro
Percorrer correndo os corredores em silêncio
Perder as paredes aparentes do edifício
Penetrar no labirinto O labirinto de labirintos
Dentro do apartamento
Sim, eu poderia procurar por dentro a casa
Cruzar uma por uma as sete portas,
as sete moradas Na sala receber o beijo frio em
minha boca Beijo de uma deusa morta Deus morto,
fêmea de língua gelada Língua gelada como nada Sim,
eu poderia em cada quarto rever a mobília
Em cada uma matar um membro da família Até que a
plenitude ea
morte coincidissem um dia O que aconteceria de
qualquer jeito
Mas eu prefiro abrir as janelas prá que
entrem todos os insetos`"
131, Tanto Mar (1ª versão) ,"`Foi bonita a festa, pá
Fiquei contente.
E ainda guardo, renitente
Um velho cravo para mim.

Já murcharam em tua festa, pá
Mas certamente
Esqueceram uma semente em algum
Canto de jardim.

Sei que há léguas a nos separar
Tanto mar, tanto mar
Sei também quanto é preciso, pá
Navegar, navegar.

Canta a primavera pá
Cá estou carente
Manda novamente algum cheirinho
De alecrim!`"
132, De Sua Formosura ,"`De sua formosura
deixai-me que diga:
é belo como o coqueiro
que vence a areia marinha.
Belo como a última onda
que o fim do mar sempre adia.
É tão belo como um sim
numa sala negativa.

De sua formosura
deixai-me que diga:
é tão belo como um sim
numa sala negativa.
Belo porque é uma porta
abrindo-se em mais saídas.
Belo como a coisa nova
na prateleira [até então] vazia.*

De sua formosura
deixai-me que diga:
Belo como a coisa nova
na prateleira [até então] vazia. *
Como qualquer coisa nova
inaugurando o seu dia.
Ou como o caderno novo
quando a gente o principia.

De sua formosura
deixai-me que diga:
é belo como o coqueiro
que vence a areia marinha.
Belo como a última onda
que o fim do mar sempre adia.
É tão belo como um sim
numa sala negativa.

Belo porque é uma porta
abrindo-se em mais saídas.
Belo como a coisa nova
na prateleira [até então] vazia. *

De sua formosura
deixai-me que diga:
Belo como a coisa nova
na prateleira [até então] vazia. *
Como qualquer coisa nova
inaugurando o seu dia.
Ou como o caderno novo
quando a gente o principia.

* No poema ""Morte e vida severina"" de João Cabral de Melo Neto consta ""(...) Belo como coisa nova/ na prateleira até então vazia"". Na música, Chico Buarque adapta o verso para ""(...) Belo como coisa nova/ na prateleira vazia"".`"
133, De Todas As Maneiras ,"`De todas as maneiras que há de amar
Nós já nos amamos
Com todas as palavras feitas pra sangrar
Já nos cortamos
Agora já passa da hora, tá lindo lá fora
Larga a minha mão, solta as unhas do meu coração
Que ele está apressado
E desanda a bater desvairado
Quando entra o verão

De todas as maneiras que há de amar
Já nos machucamos
Com todas as palavras feitas pra humilhar
Nos afagamos
Agora já passa da hora, tá lindo lá fora
Larga a minha mão, solta as unhas do meu coração
Que ele está apressado
E desanda a bater desvairado
Quando entra o verão`"
