,title,lyrics
21, a Televisão ,"`O homem da rua
Fica só por teimosia
Não encontra companhia
Mas prá casa não vai não
Em casa a roda já mudou
Que a moda muda
A roda é triste
A roda é muda
Em volta lá da televisão...

No céu a lua
Surge grande e muito prosa
Dá uma volta graciosa
Pra chamar as atenções
O homem da rua
Que da lua está distante
Por ser nego bem falante
Fala só com seus botões...

O homem da rua
Com seu tamborim calado
Já pode esperar sentado
Sua escola não vem não
A sua gente
Está aprendendo humildemente
Um batuque diferente
Que vem lá da televisão...

No céu a lua
Que não estava no programa
Cheia e nua, chega e chama
Prá mostrar evoluções
O homem da rua
Não percebe o seu chamego
E por falta doutro nego
Samba só com seus botões...

Os namorados
Já dispensam seu namoro
Quem quer riso
Quem quer choro
Não faz mais esforço não
E a própria vida
Ainda vai sentar sentida
Vendo a vida mais vivida
Que vem lá da televisão...

O homem da rua
Por ser nego conformado
Deixa a lua ali de lado
E vai ligar os seus botões
No céu a lua
Encabulada e já minguando
Numa nuvem se ocultando
Vai de volta pros sertões...`"
22, A Valsa Dos Clowns ,"`EM TODA CANÇÃO
O PALHAÇO É UM CHARLATÃO
ESPARRAMA TANTA GARGALHADA
DA BOCA PRA FORA
DIZEM QUE O SEU CORAÇÃO, PINTADO
TODA TARDE DE DOMINGO CHORA

ABRA O CORAÇÃO,
DO PALHAÇO DA CANÇÃO
E EIS QUE SALTA OUTRO FARRAPO HUMANO
E MORRE NA COXIA
DENTRO DO SEU CORAÇÃO DE PANO
UM PALHAÇO ALEGRE SE ANUNCIA

A NOVA ATRAÇÃO
TEM UM JOVEM CORAÇÃO
QUE APERTADO POR ESTREITO LAÇO
AMANHECE PARTIDO
DENTRO DELE SAI MAIS UM PALHAÇO
UM PALHAÇO COM O OLHAR CAÍDO

E ESSE CHARLATÃO,
VAI CANTAR SUA CANÇÃO
QUE COMOVE TODA A ARQUIBANCADA
COM TANTA AGONIA
DENTRO DELE UM CORAÇÃO FOLGADO
CANTAROLA UMA OUTRA MELODIA

EM TODA CANÇÃO
O PALHAÇO É UM CHARLATÃO
E ESSE CHARLATÃO
VAI CANTAR UMA CANÇÃO`"
23, A Vida do Viajante ,"`""Minha vida é andar por esse país!!""
""Tô sabendo! Tô te acompanhando pelo celular!""

Minha vida é andar por esse país
Pra ver se um dia descanso feliz
Guardando as recordações
Das terras onde passei
Andando pelos sertões
E dos amigos que lá deixei

Chuva e sol
Poeira e carvão
Longe de casa
Sigo o roteiro
Mais uma estação
E alegria no coração

Minha vida é andar por esse país
Pra ver se um dia descanso feliz
Guardando as recordações
Das terras onde passei
Andando pelos sertões
E dos amigos que lá deixei

Mar e terra
Inverno e verão
Mostro um sorriso
Mostro a alegria
Mas, eu mesmo, não
E a saudade no coração

Minha vida é andar por esse país
Pra ver se um dia descanso feliz
Guardando as recordações
Das terras onde passei
Andando pelos sertões
E dos amigos que lá deixei

Chuva e sol
Poeira e carvão
Longe de casa
Sigo o roteiro
Mais uma estação
E alegria no coração

Minha vida é andar por esse país
Pra ver se um dia descanso feliz
Guardando as recordações
Das terras onde passei
Andando pelos sertões
E dos amigos que lá deixei

Mar e terra
Inverno e verão
Mostro um sorriso
Mostro a alegria
Mas, eu mesmo, não
E a saudade no coração`"
24, A Violeira ,"`Desde menina
Caprichosa e nordestina
Que eu sabia, a minha sina
Era no Rio vir morar
Em Araripe
Topei como chofer dum jipe
Que descia pra Sergipe
Pro Serviço Militar

Esse maluco
Me largou em Pernambuco
Quando um cara de trabuco
Me pediu pra namorar
Mais adiante
Num estado interessante
Um caixeiro viajante
Me levou pra Macapá

Uma cigana revelou que a minha sorte
Era ficar naquele Norte
E eu não queria acreditar
Juntei os trapos com um velho marinheiro
Viajei no seu cargueiro
Que encalhou no Ceará

Voltei pro Crato
E fui fazer artesanato
De barro bom e barato
Pra mó de economizar
Eu era um broto
E também fiz muito garoto
Um mais bem feito que o outro
Eles só faltam falar

Juntei a prole e me atirei no São Francisco
Enfrentei raio, corisco
Correnteza e coisa-má
Inda arrumei com um artista em Pirapora
Mais um filho e vim-me embora
Cá no Rio vim parar

Ver Ipanema
Foi que nem beber jurema
Que cenário de cinema
Que poema à beira-mar
E não tem tira
Nem doutor, nem ziguizira
Quero ver que é que tira
Nós aqui desse lugar

Será verdade
Que eu cheguei nessa cidade
Pra primeira autoridade
Resolver me escorraçar
Com tralha inteira
Remontar a Mantiqueira
Até chegar na corredeira
O São Francisco me levar

Me distrair
Nos braços de um barqueiro sonso
Despencar na Paulo Afonso
No oceano me afogar
Perder os filhos
Em Fernando de Noronha
E voltar morta de vergonha
Pro sertão de Quixadá

Tem cabimento
Depois de tanto tormento
Me casar com algum sargento
E todo sonho desmanchar
Não tem carranca
Nem trator, nem alavanca
Quero ver que é que arranca
Nós aqui desse lugar`"
25, A Vizinha do Lado ,"`A vizinha quando passa
Com seu vestido grená
Todo mundo diz que é boa
Mas como a vizinha não há
Ela mexe co'as cadeiras pra cá.
Ela mexe co'as cadeiras pra lá.
Ele mexe com o juízo
Do homem que vai trabalhar

Há um bocado de gente
Na mesma situação
Todo mundo gosta dela
Na mesma doce ilusão
A vizinha quando passa
Que não liga pra ninguém
Todo mundo fica louco
E o seu vizinho também

A vizinha quando passa
Com seu vestido grená
Todo mundo diz que é boa
Mas como a vizinha não há
Ela mexe co'as cadeiras pra cá.
Ela mexe co'as cadeiras pra lá.
Ele mexe com o juízo
Do homem que vai trabalhar

Ela mexe co'as cadeiras pra cá.
Ela mexe co'as cadeiras pra lá.
Ele mexe com o juízo
Do homem que vai trabalhar

Há um bocado de gente
Na mesma situação
Todo mundo gosta dela
Na mesma doce ilusão
A vizinha quando passa
Que não liga pra ninguém
Todo mundo fica louco
E o seu vizinho também`"
26, a Volta Do Malandro ,"`Eis o malandro na praça outra vez
Caminhando na ponta dos pés
Como quem pisa nos corações
Que rolaram nos cabarés

Entre deusas e bofetões
Entre dados e coronéis
Entre parangolés e patrões
O malandro anda assim de viés

Deixa balançar a maré
E a poeira assentar no chão
Deixa a praça virar um salão
Que o malandro é o barão da ralé`"
27, a Voz Do Dono E O Dono Da Voz ,"`Até quem sabe a voz do dono
Gostava do dono da voz

Casal igual a nós, de entrega e de abandono
De guerra e paz, contras e prós
Fizeram bodas de acetato - de fato
Assim como os nossos avós

O dono prensa a voz,
A voz resulta um prato
Que gira para todos nós

O dono andava com outras doses
A voz era de um dono só

Deus deu ao dono os dentes
Deus deu ao dono as nozes

Às vozes Deus só deu seu dó
Porém, a voz ficou cansada após
Cem anos fazendo a santa

Sonhou se desatar de tantos nós
Nas cordas de outra garganta

A louca escorregava nos lençóis
Chegou a sonhar amantes
E, rouca, regalar os seus bemóis
Em troca de alguns brilhantes

Enfim a voz firmou contrato
E foi morar com novo algoz

Queria se prensar,
Queria ser um prato
Girar e se esquecer, veloz

Foi revelada na assembléia - atéia
Aquela situação atroz

A voz foi infiel, trocando de traquéia
E o dono foi perdendo a voz

E o dono foi perdendo a linha - que tinha
E foi perdendo a luz e além

E disse: ""Minha voz, se vós não sereis minha
Vós não sereis de mais ninguém""

(O que é bom para o dono é bom para a voz
O que é bom para o dono é bom para vós
O que é bom para o dono é bom para nós)`"
28, Abandono ,"`O que será ser só
Quando outro dia amanhecer
Será recomeçar
Será ser livre sem querer
O que será ser moça
E ter vergonha de viver

Ter corpo pra dançar
E não ter onde me esconder
Tentar cobrir meus olhos
Pra minh'alma ninguém ver
Eu toda a minha vida
Soube só lhe pertencer

O que será ser sua sem você
Como será ser nua em noite de luar
Ser aluada, louca
Até você voltar
Pra quê

O que será ser só
Quando outro dia amanhecer
Será recomeçar
Será ser livre sem querer
Quem vai secar meu pranto
Eu gosto tanto de você`"
29, Acalanto ,"`Dorme minha pequena
Não vale a pena despertar

Dorme minha pequena
Não vale a pena despertar

Eu vou sair
Por aí afora
Atrás da aurora
Mais serena`"
30, Acalanto Para Helena ,"`Dorme minha pequena Não vale a pena despertar
Dorme minha pequena Não vale a pena despertar
 
Eu vou sair Por aí afora
Atrás da aurora mais serena
 
Dorme (mi)nha pequena Não vale a pena despertar`"
